Line #,Name,Description,Designator,Revision ID,Quantity,TargetPrice,value,Footprint,voltage,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","LTM8078IY#PBF","DUAL 40VIN, 3A SILENT SWITCR UMO","U3","CMP-09139-000029-1","1","0","","FP-BGA-49-05-08-1518-MFG","","Analog Devices","LTM8078IY#PBF","Unknown","Digi-Key","161-LTM8078IY#PBF-ND","153.84","153.84"
"","7490120110","WE-LAN LAN Transformer, SMT, 10/100 Base-T, 1 port","T100, T200","","2","0","","7490120110","","Wurth Electronics","7490120110","Volume Production","Digi-Key","732-7196-6-ND","42.46","84.93"
"","Raspberry PI","Raspberry PI 2x20 connector","RP1","","1","0","","raspi_male_con","","Mill-Max","350-10-140-00-001000","Volume Production","Digi-Key","ED3864-40-ND","56.09","56.09"
"","ENC28J60","Stand-Alone Ethernet Controller with SPI Interface","U100, U200","","2","0","","QFN65P600X600X100_HS-29N-ENC28J60","","Microchip","ENC28J60T-I/ML","Volume Production","Digi-Key","ENC28J60T-I/MLCT-ND","26.89","53.79"
"","ADS1115IDGSR","16-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)","U4","CMP-0003-00385-2","1","0","","TI-DGS10_N","","Texas Instruments","ADS1115IDGSR","Volume Production","Digi-Key","296-38849-6-ND","46.89","46.89"
"","cap","Capacitor","C7, C12","","2","0","100u","CAPC2012X11N","6.3V","Murata","GRM21BR60J107ME15L","New Product","Digi-Key","490-13981-6-ND","16.01","32.02"
"","ICS-43432","","U2","","1","0","","PSON65P300X110-6N","","TDK InvenSense","ICS-43432","Volume Production","Digi-Key","1428-1053-6-ND","22.12","22.12"
"","744227S","SMD Common Mode Line Filter WE-SL2, L = 51.0 µH","L1","CMP-0222-00062-1","1","0","","WE-SL2","","Wurth Electronics","744227S","Volume Production","Digi-Key","732-1482-6-ND","21.76","21.76"
"","ABM10-25.000MHZ-D30-T3","Ceramic SMD Ultra Miniature Quartz Crystal, 25 MHz, 100 Ohm, 10 pF, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel","X100, X200","CMP-2000-05727-1","2","0","","ABRA-ABM10_V","","Abracon","ABM10-25.000MHZ-D30-T3","Volume Production","Digi-Key","535-10932-6-ND","10.17","20.35"
"","TMP464","High-Accuracy 5-Channel (4-Remote and 1-Local) Temperature Sensor","U1","","1","0","","QFN50P300X300X100_HS-17N_TMP464","","Texas Instruments","TMP464AIRGTR","Unknown","Digi-Key","296-50713-1-ND","18.4","18.4"
"","5Vdc","WE-TVS TVS Diode - High Speed Series, SOT23-6L, 4+1Channel, 5Vdc","D101, D201","","2","0","","WE-TVS_SOT23-6L","","Wurth Electronics","824015","Volume Production","Digi-Key","732-4467-6-ND","7.52","15.04"
"","cap","Capacitor","C5, C6, C14, C15, C16, C17, C100, C105, C107, C108, C109, C110, C111, C112, C200, C205, C207, C208, C209, C210, C211, C212","","22","0","100n","CAPC1005X06N","","KEMET","C0402C104K9RACTU","Volume Production","Digi-Key","399-4872-6-ND","0.60157","13.23"
"","Red & Bright Green, 2V, 140deg","WL-SBCC SMT Bi-color Chip LED Compact, size 0603, Red & Bright Green, 2V, 140deg","D100, D200","","2","0","","WL-SBCC_0603","","Wurth Electronics","150060RV75240","Unknown","Digi-Key","732-13401-6-ND","6.19","12.39"
"","cap","Capacitor","C9","","1","0","47u","CAPC3225X14N","50V","Taiyo Yuden","GMK325BJ226MM-T","Unknown","Digi-Key","587-6141-6-ND","8.32","8.32"
"","cap","Capacitor","C103, C104, C203, C204","","4","0","22n","CAPC1005X06N","50V","KEMET","C0402C223K5RECAUTO","Unknown","Digi-Key","399-17166-6-ND","1.33","5.31"
"","cap","Capacitor","C10, C11","","2","0","4u7","CAPC2012X11N","50V","Samsung","CL21A475KBQNNNE","Volume Production","Digi-Key","1276-1248-6-ND","2.12","4.25"
"","cap","Capacitor","C106, C206","","2","0","1000p","CAPC3216X14N","2kV","Yageo","CC1206MKX7RDBB102","Volume Production","Digi-Key","311-4501-1-ND","2.03","4.07"
